Name,Rating,Release_date,Genres,Director_name,Runtime,URL
Paranormal Activity: Next of Kin,65.0,10/29/2021,"Horror,Mystery,Thriller",William Eubank,1h 38m,https://themoviedb.org/movie/609972
Brazen,49.0,01/13/2022,"Thriller,Mystery,Drama",Monika Mitchell,1h 34m,https://themoviedb.org/movie/916740
The Medium,71.0,10/28/2021,"Horror,Thriller",Banjong Pisanthanakun,2h 11m,https://themoviedb.org/movie/745881
Miraculous World: Shanghai – The Legend of Ladydragon,79.0,05/15/2021,"Animation,Comedy,Family,Adventure",Thomas Astruc,52m,https://themoviedb.org/movie/726684
Doctor Strange,69.0,08/14/2007,"Action,Animation,Fantasy,ScienceFiction","Dick Sebast,Jay Oliva,Patrick Archibald",1h 16m,https://themoviedb.org/movie/14830
The Help,82.0,11/25/2011,Drama,Tate Taylor,2h 26m,https://themoviedb.org/movie/50014
No Time to Die,75.0,09/30/2021,"Adventure,Action,Thriller",Cary Joji Fukunaga,2h 43m,https://themoviedb.org/movie/370172
"Miraculous World: New York, United HeroeZ",83.0,11/21/2020,"Animation,Family,Comedy,Adventure,TVMovie",Thomas Astruc,55m,https://themoviedb.org/movie/755812
Dragon Ball Super: Super Hero,0.0,06/11/2022,"Animation,ScienceFiction,Action",Tetsuro Kodama,NAN,https://themoviedb.org/movie/610150
Meander,61.0,05/26/2021,"Horror,ScienceFiction,Drama,Thriller",Mathieu Turi,1h 31m,https://themoviedb.org/movie/523936
The Conjuring: The Devil Made Me Do It,76.0,06/04/2021,"Horror,Mystery,Thriller",Michael Chaves,1h 51m,https://themoviedb.org/movie/423108
Raya and the Last Dragon,80.0,03/05/2021,"Animation,Family,Fantasy,Action,Adventure","Carlos López Estrada,Don Hall",1h 47m,https://themoviedb.org/movie/527774
The Unholy,68.0,04/02/2021,Horror,Evan Spiliotopoulos,1h 39m,https://themoviedb.org/movie/632357
Marry Me,69.0,02/11/2022,"Romance,Comedy,Music",Kat Coiro,1h 52m,https://themoviedb.org/movie/615904
The Addams Family 2,71.0,10/01/2021,"Animation,Adventure,Comedy,Family","Greg Tiernan,Conrad Vernon",1h 33m,https://themoviedb.org/movie/639721
Mother/Android,58.0,12/17/2021,"ScienceFiction,Thriller",Mattson Tomlin,1h 51m,https://themoviedb.org/movie/739413
Ripper Untold,64.0,06/28/2021,Horror,Steven Lawson,1h 25m,https://themoviedb.org/movie/820511
Dark Spell,67.0,02/11/2021,"Romance,Horror,Thriller",Svyatoslav Podgaevsky,1h 32m,https://themoviedb.org/movie/633802
Old,66.0,07/23/2021,"Thriller,Mystery,Horror,Drama",M. Night Shyamalan,1h 48m,https://themoviedb.org/movie/631843
Avengers: Endgame,83.0,04/26/2019,"Adventure,ScienceFiction,Action","Anthony Russo,Joe Russo",3h 1m,https://themoviedb.org/movie/299534
Back to the Outback,76.0,12/03/2021,"Animation,Family,Adventure,Comedy","Harry Cripps,Claire Knight",1h 32m,https://themoviedb.org/movie/770254
Finch,81.0,11/04/2021,"ScienceFiction,Drama,Adventure",Miguel Sapochnik,1h 55m,https://themoviedb.org/movie/522402
Harry Potter and the Philosopher's Stone,79.0,04/12/2002,"Adventure,Fantasy",Chris Columbus,2h 32m,https://themoviedb.org/movie/671
My Hero Academia: Heroes Rising,84.0,12/20/2019,"Animation,Action,Fantasy,Adventure",Kenji Nagasaki,1h 44m,https://themoviedb.org/movie/592350
Harry Potter and the Goblet of Fire,78.0,11/18/2005,"Adventure,Fantasy,Family",Mike Newell,2h 37m,https://themoviedb.org/movie/674
All Hail,62.0,03/30/2022,"Comedy,Drama",Marcos Carnevale,1h 58m,https://themoviedb.org/movie/682344
Save The Trees,44.0,12/01/2021,Animation,"Haizea Pastor,Iker Alvarez",1h 20m,https://themoviedb.org/movie/886896
The Last: Naruto the Movie,78.0,12/06/2014,"Action,Romance,Animation",Tsuneo Kobayashi,1h 54m,https://themoviedb.org/movie/317442
The Amazing Spider-Man,67.0,06/29/2012,"Action,Adventure,Fantasy",Marc Webb,2h 16m,https://themoviedb.org/movie/1930
Riverdance: The Animated Adventure,53.0,01/14/2022,"Animation,Fantasy,Music,Adventure,Comedy,Family","Dave Rosenbaum,Eamonn Butler",1h 26m,https://themoviedb.org/movie/756403
¿Y cómo es él?,63.0,04/07/2022,Comedy,Ariel Winograd,1h 35m,https://themoviedb.org/movie/671318
Ciao Alberto,75.0,11/12/2021,"Animation,Comedy,Family,Fantasy",McKenna Jean Harris,7m,https://themoviedb.org/movie/876716
Tarumama,48.0,07/29/2021,"Horror,Drama",Andres Beltran,1h 30m,https://themoviedb.org/movie/775943
Fantastic Beasts and Where to Find Them,73.0,11/18/2016,"Adventure,Fantasy",David Yates,2h 12m,https://themoviedb.org/movie/259316
The Tomorrow War,80.0,07/02/2021,"Action,ScienceFiction,Adventure",Chris McKay,2h 18m,https://themoviedb.org/movie/588228
The Croods: A New Age,76.0,11/25/2020,"Animation,Family,Adventure,Fantasy,Comedy",Joel Crawford,1h 35m,https://themoviedb.org/movie/529203
Harry Potter and the Order of the Phoenix,77.0,07/03/2007,"Adventure,Fantasy,Mystery",David Yates,2h 18m,https://themoviedb.org/movie/675
Jurassic World Dominion,0.0,06/10/2022,"Adventure,Action,ScienceFiction,Thriller",Colin Trevorrow,2h 26m,https://themoviedb.org/movie/507086
The Bubble,49.0,03/25/2022,Comedy,Judd Apatow,2h 6m,https://themoviedb.org/movie/765119
Don't Breathe 2,74.0,09/17/2021,"Thriller,Horror",Rodo Sayagues,1h 38m,https://themoviedb.org/movie/482373
Naruto Shippuden the Movie,72.0,08/04/2007,"Animation,Action,Fantasy",Hajime Kamegaki,1h 34m,https://themoviedb.org/movie/20982
Infinite,67.0,09/09/2021,"ScienceFiction,Action,Thriller",Antoine Fuqua,1h 46m,https://themoviedb.org/movie/581726
The Wonderful Winter of Mickey Mouse,61.0,02/18/2022,"Animation,Comedy","Ryan Gillis,William Reiss,Eddie Trigueros",24m,https://themoviedb.org/movie/939336
Far From the Tree,81.0,11/24/2021,"Animation,Family",Natalie Nourigat,7m,https://themoviedb.org/movie/831827
Harry Potter and the Chamber of Secrets,77.0,04/25/2003,"Adventure,Fantasy",Chris Columbus,2h 41m,https://themoviedb.org/movie/672
Harry Potter and the Prisoner of Azkaban,80.0,06/04/2004,"Adventure,Fantasy",Alfonso Cuarón,2h 21m,https://themoviedb.org/movie/673
Halloween Kills,67.0,10/15/2021,"Horror,Thriller",David Gordon Green,1h 45m,https://themoviedb.org/movie/610253
The Whole Truth,63.0,12/02/2021,Horror,Wisit Sasanatieng,2h 5m,https://themoviedb.org/movie/895001
Seal Team,72.0,10/28/2021,"Animation,Family,Comedy",Greig Cameron,1h 38m,https://themoviedb.org/movie/823610
Wrath of Man,77.0,05/07/2021,"Action,Crime,Thriller",Guy Ritchie,1h 59m,https://themoviedb.org/movie/637649
Son,61.0,08/06/2021,"Horror,Thriller",Ivan Kavanagh,1h 38m,https://themoviedb.org/movie/754934
Love Like the Falling Petals,81.0,03/24/2022,"Romance,Drama",Yoshihiro Fukagawa,2h 8m,https://themoviedb.org/movie/890322
